GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,METHOD_USED,TOTAL_WATER_USE,WST_EXPLANATION,WST_GROUNDWATER,WST_OTHER,WST_RECYCLED_WATER,WST_REUSED_WATER,WST_SURFACE_WATER,WUS_AGRICULTURAL,WUS_EXPLANATION,WUS_INDUSTRIAL,WUS_MANAGED_RECHARGE,WUS_MANAGED_WETLANDS,WUS_NATIVE_VEGETATION,WUS_OTHER,WUS_URBAN
,129,2018,BORREGO SPRINGS,7-024.01,Single Annual Report,Entire Basin,Only supply is groundwater. Used same method as used to calculate groundwater use.,17653,,17653,0,0,0,0,0,,0,0,0,0,0,0
,145,2018,COASTAL PLAIN OF ORANGE COUNTY,8-001,Single Annual Report,Entire Basin,"metered (510576 AF), estimated (1000 AF)",511576,,271104,0,17375,0,233098,0,,0,0,0,0,0,511576
,171,2018,INDIO,7-021.01,Single Annual Report,Entire Basin,"99% metered, 1% estimated",594339,Colorado River Water,288308,292336,14188,0,1797,309859,Other category refers to the unmetered groundwater pumping for domestic uses. Includes only water use in the Subbasin.,1522,0,0,0,1500,281458
,115,2018,LIVERMORE VALLEY,2-010,Single Annual Report,Entire Basin,"Sum of groundwater, surface water, and recycled water.",52938,,11545,0,6731,0,34662,5333,,0,6773,0,0,0,47605
,167,2018,LLAGAS AREA,3-003.01,Single Annual Report,Entire Basin,Metered (most use) or estimated using table of average uses or crop factors (estimated groundwater use). The distribution of 2200 AF of recycled water in the various water use sectors is based on the distribution ratio from 2020 data. Note - Industrial use for all water sources except recycled water is grouped with municipal use under Urban water use sector because we don't have data to distinguish between municipal and industrial use.,46100,,42600,0,2200,0,1300,24735,,1067,20300,0,0,0,20298
,172,2018,MISSION CREEK,7-021.02,Single Annual Report,Entire Basin,Metered wells and estimate of unmetered well use based on population in areas outside of municipal water service areas. Imported surface water used for groundwater replenishment metered Colorado River Aqueduct Water.,14742,Imported Groundwater from Adjacent Subbasin,14573,169,0,0,0,611,Undetermined but estimated to be mostly urban use by minimal pumpers who are not required to report producton to Coachella Valley Water District  (<25 AFY) or to Desert Water Agency (<10 AFY).,262,0,0,0,500,13369
,116,2018,NILES CONE,2-009.01,Single Annual Report,Entire Basin,"Water Use is metered or gaged by Agency and/or Water Source Type. ACWD sources include local surface water from the Alameda Creek Watershed (measured by stream gage), extracted groundwater (with non-ACWD wells metered through the Replenishment Assessment Program), SWP (metered), SFPUC (metered), Lake Del Valle (metered), and Semitropic Water Storage District (metered). Local surface water from the Alameda Creek Watershed, as well as some SWP and Semitropic Water Storage District water, was used for managed aquifer recharge, which is recovered as groundwater pumping and other groundwater demands. Therefore, the numerical Total Water Use (70725 AF) is not a net water supply value. Water Use by Non-ACWD Owned/Operated Wells and the City of Hayward Distribution System (via SFPUC) are also metered.",70725,"Includes water imported from the SWP (13,126 AF), SFPUC (8,085 AF), Lake Del Valle (1,110 AF), Semitropic Water Storage District (4,276 AF), and the City of Hayward Distribution System (via ) (1,272 AF). Note that some SWP and Semitropic Water Storage District water was used for managed aquifer recharge, which is recovered as groundwater pumping and other groundwater demands.",20636,27869,3471,0,18748,120,"""Non-Revenue Water"" (3,418 AF), ""Desal to SF Bay"" (3,290 AF), and ""ARP"" (475 AF) were added as Water Use Sectors to account for water that could not be appropriately categorized under SGMA water use sectors. ""Non-Revenue Water"" is the amount of water supplied to the ACWD distribution system less the summation of meter readings for which customers were billed. Non-Revenue Water includes non-billed consumption (fire flows, distribution system flushing, etc.) plus real and apparent losses. ""Desal to SF Bay"" is brine and brine dilution water discharged from the Desalination Facility as wastewater and discharged to San Francisco Bay. ""ARP"" is the Aquifer Reclamation Program. Groundwater classified under ""ARP"" is water extracted to improve basin water quality, but is not supplied to the Desalination Facility for potable reuse.",5199,18748,3471,0,7183,36005
,174,2018,PAJARO VALLEY,3-002.01,Single Annual Report,Entire Basin,"Total water use in the Pajaro Valley Basin during water year 2018 was 54,375 acre-feet. Surface water supply use is measured through direct measurement by flow meters that have an accuracy of +/- 1.5 % or estimated using a mass balance approach and measurement of inflows. Metered groundwater use is measured through direct measurement by flow meters that have an accuracy of +/- 5.0 %. For non-metered commercial production facilities, average annual demand is based off the adopted estimated annual water demand rates for the following land uses: residential (0.5 acre-feet per year [AFY] per dwelling unit), apple orchard (1.0 AFY per cultivated acre), greenhouse operation (4.0 AFY per cultivated acre), mushroom operation (1.5 AFY per 100 tons of mushrooms produced), golf course and other turf (3.2 AFY per acre), non-irrigated agriculture (0.0 AFY per acre), all other agriculture (2.5 AFY per cultivated acre), and all other commercial operations (1.5 AFY per 1.0 acre-feet of wastewater produced). If a non-metered commercial water production facility serves more than one land use, total annual water production of the facility shall be estimated as the sum of all such uses on the prorated basis of the indices established above. Total annual demand shall be presumed to be evenly divided between the period of January through June and the period of July through December. The annual water demand of a water production facility located on residential land and used for residential purposes only is estimated at 0.5 acre-feet per year per dwelling unit served. This demand is based on average annual water use data from rural residential water providers Aromas Water District, Central Water District, and San Andreas Mutual Water Company.",54375,The Harkins Slough Managed Aquifer Recharge and Recovery Facility diverts surface water from Harkins Slough and conveys it to a recharge basin where it percolates into the surficial aquifer of the San Andreas Terrace located near the coast. PV Water utilizes a series of wells to recover recharged water and delivers it to coastal farms through the Coastal Distribution System.,50218,225,3274,0,658,44151,Rural Residential - Unmetered residential water users in rural settings,1056,73,0,0,1397,7697
,173,2018,SANTA CLARA,2-009.02,Single Annual Report,Entire Basin,Metered (most use) or estimated using table of average uses or crop factors (estimated groundwater use). Note - Industrial use for all water sources except recycled water is grouped with municipal use under Urban water use sector. The distribution of 15600 AF of recycled water in the various water use sectors is based on the distribution ratio from 2020 data.,247900,,79600,0,15600,0,152700,3780,,6521,98400,0,0,0,237599
,158,2018,TAHOE SOUTH,6-005.01,Single Annual Report,Entire Basin,"Estimated total water produced scaled to water loss and demand estimates from 2015 STPUD Urban Water Management Plan (J. Crowley Group, 2016)",6833,,6833,0,0,0,0,0,,2840,0,0,0,0,3992
21,,2019,180/400 FOOT AQUIFER,3-004.01,Single Annual Report,Entire Basin,"Groundwater extraction data was recieved from MCWRA and were filtered by location for the 180/400 Foot Aquifer Subbasin. The groundwater extraction total is inclusive of rural domestic pumping which was estimated multiplying the approximate number of domestic users by 0.39 AF/yr. Salinas River Diversion Facility (SRDF) Salinas River diversions and recycled water use numbers from from the Salinas Valley Reclamation Project (SVRP) were received from Monterey One Water. Addtional surface water diversions were downloaded from the SWRCB via eWRIMS and were filtered by location for the 180/400 Foot Aquifer Subbasin. Many growers and residents noted that some irrigation is reported both to SWRCB as surface water diversions and to MCWRA as groundwater pumping. To avoid double counting, all surface water reported as a Statement of Diversion and Use are excluded from the total surface water use. In other words, the total surface water use includes the SRDF river diversions, which were 7,600 AF/yr. in WY 2019, and appropriative surface water diversions reported to eWRIMS. In WY 2019, approximately 7,400 AF/yr. of the surface water diversions reported to eWRIMS were were reported as a Statement of Diversion and Use and none were reported as Appropriative. The recycled water total is made up of water from SVRP. ",133900,,117800,0,8500,0,7600,121200,This includes estimated Rural Domestic water use.,0,0,0,0,200,12500
144,,2019,BIG VALLEY,5-004,Single Annual Report,Entire Basin,"Estimated from water budget model. Use by sector estimated based on historic trends. Relies heavily on assumptions about land use and population trends. Data sourced from DWR Land Use surveys, Precipitation and Evapotranspiration estimated from CIMIS station #43, Streamflow estimated from USGS stream gage 11349000 PIT R NR LOOKOUT CA. ",108400,,38400,0,0,0,70000,57400,,0,0,0,50900,0,100
,141,2019,BORREGO SPRINGS,7-024.01,Single Annual Report,Entire Basin,Only supply is groundwater. Used same method as used to calculate groundwater use.,17379,,17379,0,0,0,0,0,,0,0,0,0,0,0
10,,2019,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,"Total Water Use is assumed to be the total volume of water applied to the land surface from all sources.
Groundwater is determined following the methods described in Part B.
Surface water is determined from delivery records (from Districts) and riparian diversion reports (eWRIMS).
Precipitation is determined from CIMIS and PRISM records (PRISM in water year 2019).",522550,Precipitation,209970,137690,0,0,174890,489700,,0,8840,0,7370,0,16640
,138,2019,COASTAL PLAIN OF ORANGE COUNTY,8-001,Single Annual Report,Entire Basin,metered,437754,,301004,0,16444,0,120306,0,,0,0,0,0,0,437754
13,,2019,CUYAMA VALLEY,3-013,Single Annual Report,Entire Basin,"Water budgets, including groundwater extractions, in the Cuyama Basin GSP were developed using the Cuyama Basin Water Resources Model (CBWRM) model, which is a fully integrated surface and groundwater flow model covering the Basin. The CBWRM integrates the groundwater aquifer with the surface hydrologic system and land surface processes and operations.  The CBWRM was used to develop a historical water budget that evaluated the availability and reliability of past surface water supply deliveries, aquifer response to water supply, and demand trends relative to water year type. For the GSP, the CBWRM was used to develop water budget estimates for the hydrologic period of 1998 through 2017. As discussed in the GSP, the model was developed based on the best available data and information as of June 2018. An assessment of model uncertainty included in the GSP estimated an error range in overall model results of about +/- 10%. It is expected that the model will be refined in the future as improved and updated monitoring information becomes available for the Basin. For the Annual Report, the CBWRM model was extended to include the 2018 and 2019 water years, utilizing updated land use, temperature and precipitation data from those years. No surface water was used in the Cuyama Basin during the reporting period.",47200,,47200,0,0,0,0,46900,,0,0,0,0,0,300
8,,2019,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,"Sum of self-reported volumes from each GSA within the Delta-Mendota Subbasin across six Subbasin GSP regions; Reflects water lost through canal leakage, pipe leakage, and other percolating waters",1653800,,256500,0,14400,17800,1365100,1259300,,6200,7300,365500,0,0,15500
14,,2019,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,Total water use is the sum of groundwater use (Part A) and surface water use (Part C).,1254591,,738147,0,0,0,516444,1134479,,0,0,0,0,0,120111
40,,2019,INDIAN WELLS VALLEY,6-054,Single Annual Report,Entire Basin,"Water meters, electrical meters, population estimates, land use estimates, other estimates",24090,,22810,0,1280,0,0,11050,"Other includes Federal Use: (1,460 AF), Domestic/Mutual/Co-Ops: (1,380 AF), and recycled water percolation/habitat support (800 AF).",2690,0,0,0,3640,6710
,165,2019,INDIO,7-021.01,Single Annual Report,Entire Basin,"99% metered, 1% estimated",551445,Colorado River Water,261151,274216,14446,0,1632,283551,Other category refers to the unmetered groundwater pumping for domestic uses. Includes only water use in the Subbasin.,1307,0,0,0,1500,265087
29,,2019,KAWEAH,5-022.11,Single Annual Report,Entire Basin,Sum of groundwater use plus water supplies minus conveyance losses,1377700,,686300,0,12000,0,871800,603900,,21800,236900,0,590,0,60000
9,,2019,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,"Meters, Land Use Calculations, Groundwater Model",3878302,,1284183,0,35609,1524,2768267,2445679,"Banking recovery, exchanges and pumpins",0,1173060,23074,0,36512,199977
26,,2019,KINGS,5-022.08,Single Annual Report,Entire Basin,Sum of all water supplies,2700756,Riparian water diversions and local minor water transfers,1061594,40172,581,0,1598409,2078777,James ID Wells pumped in McMullin Area GSA (agricultural use),0,381436,0,0,7798,232745
32,,2019,LAS POSAS VALLEY,4-008,Single Annual Report,Entire Basin,"meters, reported sales",29225,,20355,0,823,0,8047,20435,rural domestic ,0,0,0,0,37,8753
,140,2019,LIVERMORE VALLEY,2-010,Single Annual Report,Entire Basin,"Sum of groundwater, surface water, and recycled water.",51804,,14021,0,6185,0,31598,4693,,0,2943,0,0,0,46995
,100,2019,LLAGAS AREA,3-003.01,Single Annual Report,Entire Basin,Metered (most use) or estimated using table of average uses or crop factors (estimated groundwater use). The distribution of 1900 AF of recycled water in the various water use sectors is based on the distribution ratio from 2020 data. Note - Industrial use for all water sources except recycled water is grouped with municipal use under Urban water use sector because we don't have data to distinguish between municipal and industrial use.,45600,,42400,0,1900,0,1300,24735,,922,23000,0,0,0,19943
"20,22,25,33",,2019,MADERA,5-022.06,Multiple Annual Reports,Entire Basin,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,932101,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,435012,309490,46,0,187453,748656,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,11657,0,76360,0,66795
12,,2019,MERCED,5-022.04,Single Annual Report,Entire Basin,Total water use is a simple sum (by sector) of the groundwater use and total surface water available for use. Groundwater use was calculated by a mixture of direct metered measurements and estimates from the MercedWRM. Surface water diversions were metered directly.,1159302,,637804,0,0,0,521498,1098340,,0,0,12495,0,0,48467
,126,2019,MISSION CREEK,7-021.02,Single Annual Report,Entire Basin,Metered wells and estimate of unmetered well use based on population in areas outside of municipal water service areas. Imported surface water used for groundwater replenishment metered Colorado River Aqueduct Water.,13868,Imported Groundwater from Adjacent Subbasin,13782,86,0,0,0,638,Undetermined but estimated to be mostly urban use by minimal pumpers who are not required to report producton to Coachella Valley Water District  (<25 AFY) or to Desert Water Agency (<10 AFY).,331,0,0,0,500,12399
,99,2019,NILES CONE,2-009.01,Single Annual Report,Entire Basin,"Water Use is metered or gaged by Agency and/or Water Source Type. ACWD sources include local surface water from the Alameda Creek Watershed (measured by stream gage), extracted groundwater (with non-ACWD wells metered through the Replenishment Assessment Program), SWP (metered), SFPUC (metered), Lake Del Valle (metered), and Semitropic Water Storage District (metered). Local surface water from the Alameda Creek Watershed, as well as some SWP and Semitropic Water Storage District water, was used for managed aquifer recharge, which is recovered as groundwater pumping and other groundwater demands. Therefore, the numerical Total Water Use (72996 AF) is not a net water supply value. Water Use by Non-ACWD Owned/Operated Wells and the City of Hayward Distribution System (via SFPUC) are also metered.",72996,"Includes water imported from the SWP (8,548 AF), SFPUC (8,868 AF), Lake Del Valle (9,228 AF), Semitropic Water Storage District (733 AF), and the City of Hayward Distribution System (via SFPUC) (1,244 AF). Note that some SWP and Semitropic Water Storage District water was used for managed aquifer recharge, which is recovered as groundwater pumping and other groundwater demands.",19885,28621,2935,0,21555,106,"""Non-Revenue Water"" (4,801 AF), ""Desal to SF Bay"" (3,198 AF), and ""ARP"" (797 AF) were added as Water Use Sectors to account for water that could not be appropriately categorized under SGMA water use sectors. ""Non-Revenue Water"" is the amount of water supplied to the ACWD distribution system less the summation of meter readings for which customers were billed. Non-Revenue Water includes non-billed consumption (fire flows, distribution system flushing, etc.) plus real and apparent losses. ""Desal to SF Bay"" is brine and brine dilution water discharged from the Desalination Facility as wastewater and discharged to San Francisco Bay. ""ARP"" is the Aquifer Reclamation Program. Groundwater classified under ""ARP"" is water extracted to improve basin water quality, but is not supplied to the Desalination Facility for potable reuse.",4537,21785,2935,0,8796,34837
24,,2019,NORTH YUBA,5-021.60,Single Annual Report,Entire Basin,"Groundwater extraction is estimated for Urban using data retrieved from the City of Marysville and the State Water Resources Control Board Water Conservation Portal, Agricultural and Rural Residential are estimated using the Yuba Groundwater Model (YGM), and Agricultural - Groundwater Substitution Transfers is based on metered data reported by the Member Units. Surface water is estimated using the YGM and is the amount of surface water diverted to meet agricultural demand. This includes the surface water consumptively used by the crop and the surface water that percolates to the groundwater system as part of the irrigation process. These surface water values differ from diverted amounts in that they do not include conveyance losses and operational flows (the amount diverted at the headgate but not used and spilled at a downstream location).",165400,,41920,0,0,0,123480,163170,Rural residential,0,0,0,0,420,1810
30,,2019,OXNARD,4-004.02,Single Annual Report,Entire Basin,"meters, reported sales [Note: Groundwater extraction reporting for Calendar Year 2019 was not complete at the time that this annual report was prepared.]",96311,,45382,0,0,0,50929,32059,Rural Domestic ,0,36768,0,0,61,27423
,101,2019,PAJARO VALLEY,3-002.01,Single Annual Report,Entire Basin,"Total water use in the Pajaro Valley Basin during water year 2019 was 47,623 acre-feet. Surface water supply use is measured through direct measurement by flow meters that have an accuracy of +/- 1.5 % or estimated using a mass balance approach and measurement of inflows. Metered groundwater use is measured through direct measurement by flow meters that have an accuracy of +/- 5.0 %. For non-metered commercial production facilities, average annual demand is based off the adopted estimated annual water demand rates for the following land uses: residential (0.5 acre-feet per year [AFY] per dwelling unit), apple orchard (1.0 AFY per cultivated acre), greenhouse operation (4.0 AFY per cultivated acre), mushroom operation (1.5 AFY per 100 tons of mushrooms produced), golf course and other turf (3.2 AFY per acre), non-irrigated agriculture (0.0 AFY per acre), all other agriculture (2.5 AFY per cultivated acre), and all other commercial operations (1.5 AFY per 1.0 acre-feet of wastewater produced). If a non-metered commercial water production facility serves more than one land use, total annual water production of the facility shall be estimated as the sum of all such uses on the prorated basis of the indices established above. Total annual demand shall be presumed to be evenly divided between the period of January through June and the period of July through December. The annual water demand of a water production facility located on residential land and used for residential purposes only is estimated at 0.5 acre-feet per year per dwelling unit served. This demand is based on average annual water use data from rural residential water providers Aromas Water District, Central Water District, and San Andreas Mutual Water Company.",47623,The Harkins Slough Managed Aquifer Recharge and Recovery Facility diverts surface water from Harkins Slough and conveys it to a recharge basin where it percolates into the surficial aquifer of the San Andreas Terrace located near the coast. PV Water utilizes a series of wells to recover recharged water and delivers it to coastal farms through the Coastal Distribution System.,43856,238,2940,0,589,37688,Rural Residential - Unmetered residential water users in rural settings,907,107,0,0,1399,7523
15,,2019,PASO ROBLES AREA,3-004.06,Single Annual Report,Entire Basin,"Combination of directly measured volumes from Metered Municipal Wells, Metered SW Deliveries, and estimated volumes using the Soil-Water Balance Model and Groundwater Model.",63774,,62589,0,0,0,1184,55800,Rural Domestic and Small Public Water System,0,0,0,0,5060,2914
31,,2019,PLEASANT VALLEY,4-006,Single Annual Report,Entire Basin,"meters, reported sales [Note: Groundwater extraction reporting for Calendar Year 2019 was not complete at the time that this annual report was prepared.]",34404,,6389,0,1566,0,26449,21045,Rural Domestic,0,0,0,0,1376,11983
,113,2019,SANTA CLARA,2-009.02,Single Annual Report,Entire Basin,Metered (most use) or estimated using table of average uses or crop factors (estimated groundwater use). Note - Industrial use for all water sources except recycled water is grouped with municipal use under Urban water use sector. The distribution of 15200 AF of recycled water in the various water use sectors is based on the distribution ratio from 2020 data.,229400,,67200,0,15200,0,147000,3670,,6354,58420,0,0,0,219376
11,,2019,SANTA CRUZ MID-COUNTY,3-001,Single Annual Report,Entire Basin,"Municipal groundwater use is metered. Soquel Creek WD surface water use is metered. City of Santa Cruz surface water use is estimated based on total City of Santa Cruz metered water demand proportioned in the Santa Cruz Mid-County Basin by land use. Private domestic, agricultutal, and institutional groundwater uses are estimated based on land use.",8818,,4859,0,0,0,3959,336,private domestic and institutional,0,0,0,0,903,7579
23,,2019,SOUTH YUBA,5-021.61,Single Annual Report,Entire Basin,"Groundwater extraction is estimated for Urban using data retrieved from the State Water Resources Control Board Water Conservation Portal for Olivehurst Public Utilities District and Linda County Water Agency, metered data reported by the City of Wheatland, and estimated for Beale Airforce Base. Agricultural and Rural Residential groundwater extractions are estimated using the Yuba Groundwater Model (YGM) and Agricultural - Groundwater Substitution Transfers is based on metered data reported by the Member Units. Surface water is estimated using the YGM and is the amount of surface water diverted to meet agricultural demand. This includes the surface water consumptively used by the crop and the surface water that percolates to the groundwater system as part of the irrigation process. These surface water values differ from diverted amounts in that they do not include conveyance losses and operational flows (the amount diverted at the headgate but not used and spilled at a downstream location).",182690,,70290,0,0,0,112400,171240,Rural residential,0,0,0,0,1730,9720
,98,2019,TAHOE SOUTH,6-005.01,Single Annual Report,Entire Basin,"Estimated total water produced scaled to water loss and demand estimates from the District’s 2019 Advanced Metering Infrastructure Data, which capture about 75% of the total number of water accounts in the District’s system.",5638,,5638,0,0,0,0,0,Mutual Aid Transfers,1840,0,0,0,32,3765
28,,2019,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,"Methods used were estimated crop ET demand, meters, population useage for urban and rural areas.",1174471,,480390,0,0,0,584906,1138400,Other is Municipal Usage from Cities and Communities.,0,0,0,0,26571,9500
"34,35,36,37,38,39",,2019,TULE,5-022.13,Multiple Annual Reports,Entire Basin,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,1995124,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,536534,529880,9202,2156,974224,1439932,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,283679,0,0,9234,25598
27,,2019,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,Groundwater extraction from metered wells and monthly surface water delivery records from USBR,985000,,119000,0,0,0,866000,980000,Small water systems (4310 AF) and Domestic wells (82 AF),0,0,128,0,4392,823
73,,2019,YUCAIPA,8-002.07,Single Annual Report,Entire Basin,Groundwater extractions for municipal use are metered using in-line flow propeller and digital totalizers; groundwater extractions via native vegetation are estimated using a numerical model; imported SWP water volumes are purchased and metered on delivery; imported groundwater pumped from outside the Subbasin is metered; recycled water delivery by YVWD is metered; and reused water is treated water from YVRWFF that is discharged to spreading basins. The delivery of the reused water to the spreading basins is metered.,26158,Imported groundwater from wells operating outside the Plan Area.,12208,632,1828,2,11488,217,,0,4971,0,3649,0,17321
